N=2 - k=2 - functions=0, 1, - path= 0 -> 1 -> 0 -> 
N=3 - k=2 - functions=0, 2, - path= 0 -> 2 -> 1 -> 0 -> 
N=5 - k=3 - functions=0, 1, 2, - path= 0 -> 1 -> 3 -> 4 -> 2 -> 0 -> 
N=7 - k=3 - functions=0, 1, 5, - path= 0 -> 1 -> 6 -> 2 -> 5 -> 4 -> 3 -> 0 -> 
N=11 - k=3 - functions=0, 1, 7, - path= 0 -> 7 -> 6 -> 3 -> 10 -> 8 -> 9 -> 5 -> 4 -> 1 -> 2 -> 0 -> 
N=13 - k=4 - functions=0, 1, 2, 4, - path= 0 -> 4 -> 7 -> 11 -> 8 -> 12 -> 2 -> 6 -> 10 -> 9 -> 5 -> 1 -> 3 -> 0 -> 
N=17 - k=4 - functions=0, 1, 2, 8, - path= 0 -> 2 -> 12 -> 16 -> 9 -> 14 -> 11 -> 10 -> 15 -> 5 -> 8 -> 13 -> 7 -> 6 -> 4 -> 1 -> 3 -> 0 -> 
